document,control_id,control_name,status,severity,finding,evidence,llm_recommendation,auditor_recommendation,auditor_reviewed
claude_system_card,RC-01,Risk management system,gap,high,"Document lacks direct evidence of a documented, continuous risk management process covering the full lifecycle.",none found,"Develop and document a comprehensive risk management plan that covers the full lifecycle of the AI system, including risk identification, estimation, evaluation, and communication of residual risks.",,False
claude_system_card,RC-02,Data governance,gap,high,Document lacks direct evidence of data governance practices and redirects to external research papers.,"This model card is not intended to encompass all of our research. For comprehensive insights into our training and evaluation methodologies, we invite you to explore our research papers.",Provide self-contained documentation of data governance practices within the model card.,,False
claude_system_card,RC-03,Technical documentation,gap,high,Document provides an overview but redirects to external research papers for comprehensive insights.,"For comprehensive insights into our training and evaluation methodologies, we invite you to explore our research papers.",Ensure all necessary technical documentation is self-contained within the document and does not rely on external sources.,,False
claude_system_card,RC-04,Transparency & instructions for use,partial,medium,The document provides some information on intended uses and limitations but lacks comprehensive lifecycle coverage.,"Claude is trained to be a helpful, honest, and harmless assistant. Claude models excel at open-ended conversation and collaboration on ideas, and also perform exceptionally well in coding tasks and when working with text.",Provide detailed instructions for use covering all lifecycle stages and ensure all capabilities and limitations are clearly disclosed.,,False
claude_system_card,RC-05,Human oversight,gap,high,Document lacks direct evidence of human oversight mechanisms and redirects to external sources for more information.,"This model card is not intended to encompass all of our research. For comprehensive insights into our training and evaluation methodologies, we invite you to explore our research papers.","Provide direct evidence of human oversight mechanisms within the document, including documentation of override procedures and operator controls.",,False
claude_system_card,RC-06,"Accuracy, robustness & cybersecurity",gap,high,"Document lacks direct evidence of accuracy metrics across subgroups, robustness testing, and cybersecurity measures.",none found,"Provide detailed documentation on accuracy metrics across subgroups, robustness testing results, and cybersecurity measures implemented.",,False
google_gemini_card,RC-01,Risk management system,gap,high,"Document lacks direct evidence of a documented, continuous risk management process covering the full lifecycle.",none found,"Develop and document a comprehensive risk management plan that covers the full lifecycle of the AI system, ensuring it includes identification, estimation, evaluation, and communication of risks.",,False
google_gemini_card,RC-02,Data governance,gap,high,Document lacks direct evidence of data governance practices and redirects to external sources for model cards.,"Model cards may be updated from time to time; for example, to include updated evaluations as the model is improved or revised.","Provide comprehensive documentation within the document itself, detailing data sources, collection methods, and bias mitigation strategies.",,False
google_gemini_card,RC-03,Technical documentation,partial,medium,The document provides some technical details but lacks comprehensive lifecycle coverage and redirects to external sources for updates.,"Model cards may be updated from time to time; for example, to include updated evaluations as the model is improved or revised.",Ensure all necessary technical documentation is self-contained and includes comprehensive lifecycle coverage.,,False
google_gemini_card,RC-04,Transparency & instructions for use,gap,high,Document provides general information but redirects to external sources for comprehensive details.,See the Google DeepMind site for a comprehensive list of model cards.,Ensure all necessary transparency and instructions for use are included directly within the document without redirecting to external sources.,,False
